,Unnamed: 0.1,name,province,climate_id,station_id,wmo_id,tc_id,latitude_decimal_degrees,longitude_decimal_degrees,latitude,longitude,elevation_m,start_date,end_date,h_rain_nan,T_low_nan,date_nan,h_snow_nan,T_high_nan,h_all_precip_nan,T_high_avg_nan,T_min_nan,T_low_avg_nan,T_max_nan,period_T_low_nan,period_T_high_nan,T_min_year_nan,day_nan,T_max_year_nan,month_nan,alm_stn_id,alm_stn_dist,norm_stn_id,norm_stn_dist
1327,1327,MATAGAMI,QUEBEC,7094637,10791,71821.0,GMG,49.76,-77.79,494528020.0,-774735060.0,281.03,1992.0,2015.0,730.0,65.0,0.0,730.0,70.0,353.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6053.0,2.4307352945310567,6042.0,48.97634752597061
1329,1329,VAL-D'OR A,QUEBEC,7098600,6081,71725.0,YVO,48.06,-77.79,480323000.0,-774712000.0,337.4,1951.0,2015.0,425.0,730.0,0.0,425.0,730.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6081.0,0.0,6081.0,0.0
1330,1330,VAL-D'OR,QUEBEC,7098603,30172,71725.0,GVO,48.06,-77.79,480323004.0,-774711007.0,338.88,2008.0,2015.0,730.0,67.0,0.0,730.0,72.0,89.0,365.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6081.0,0.0,6081.0,0.0
1331,1331,VAL D'OR A,QUEBEC,7098605,49390,71941.0,YVO,48.05,-77.78,480312000.0,-774658000.0,337.4,2011.0,2015.0,730.0,97.0,0.0,730.0,125.0,147.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6081.0,1.3386796345095529,6081.0,1.3386796345095529
1333,1333,LAC BERRY,QUEBEC,709CEE9,6005,,,48.8,-78.28,484800000.0,-781700000.0,305.0,1973.0,2015.0,184.0,199.0,0.0,226.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6005.0,0.0,6005.0,0.0
1336,1336,INUKJUAK,QUEBEC,7103280,48974,71306.0,YPH,58.47,-78.08,582819000.0,-780437000.0,25.3,2011.0,2015.0,730.0,93.0,0.0,730.0,101.0,109.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6082.0,0.0,6082.0,0.0
1342,1342,INUKJUAK A,QUEBEC,710S005,30166,71907.0,MJK,58.47,-78.08,582819000.0,-780437000.0,26.21,2008.0,2015.0,730.0,85.0,0.0,730.0,102.0,172.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6082.0,0.0,6082.0,0.0
1347,1347,PARC NATIONAL DES PINGUALUIT,QUEBEC,7115800,48228,71976.0,MIN,61.31,-73.67,611846199.0,-734006264.0,503.4,2009.0,2015.0,730.0,183.0,0.0,730.0,188.0,313.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6082.0,401.1516761147145,6082.0,401.1516761147145
1350,1350,RIVIERE AUX FEUILLES,QUEBEC,7116505,44143,71743.0,MRF,57.91,-72.98,575434006.0,-725833004.0,171.39,2005.0,2015.0,730.0,75.0,0.0,730.0,81.0,196.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6095.0,270.38539058528505,6095.0,270.38539058528505
1351,1351,SCHEFFERVILLE A,QUEBEC,7117823,49649,71921.0,YKL,54.81,-66.81,544819000.0,-664819000.0,520.9,2012.0,2015.0,730.0,82.0,0.0,730.0,86.0,104.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6098.0,1.2855795039109807,6098.0,1.2855795039109807
1352,1352,SCHEFFERVILLE,QUEBEC,7117827,30164,71828.0,GKL,54.8,-66.8,544800000.0,-664800000.0,517.2,2005.0,2015.0,730.0,90.0,0.0,730.0,98.0,136.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6098.0,1.2862410070278758,6098.0,1.2862410070278758
1356,1356,AROOSTOOK,NEW BRUNSWICK,8100300,6109,,,46.71,-67.72,464244000.0,-674256000.0,80.0,1929.0,2015.0,202.0,202.0,0.0,202.0,202.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6109.0,0.0,6109.0,0.0
1357,1357,BAS CARAQUET,NEW BRUNSWICK,8100467,6915,71598.0,WXS,47.8,-64.83,474808000.0,-645000000.0,5.0,1993.0,2015.0,730.0,77.0,0.0,730.0,82.0,137.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6115.0,64.70726246394295,6113.0,2.9965331388350536
1358,1358,BAS CARAQUET,NEW BRUNSWICK,8100468,6113,,,47.8,-64.87,474800000.0,-645200000.0,10.7,1982.0,2015.0,66.0,730.0,0.0,66.0,730.0,66.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6115.0,61.859747371707655,6113.0,0.0
1359,1359,BATHURST A,NEW BRUNSWICK,8100505,51418,71574.0,ZBF,47.63,-65.74,473747000.0,-654420000.0,58.8,2013.0,2015.0,74.0,65.0,0.0,67.0,65.0,70.0,348.0,0.0,348.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6115.0,6.855568016296744,6916.0,0.7515738556268313
1360,1360,BUCTOUCHE CDA CS,NEW BRUNSWICK,8100593,6918,71666.0,ABT,46.43,-64.77,462549006.0,-644605009.0,35.9,1991.0,2015.0,730.0,70.0,0.0,730.0,73.0,99.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6126.0,10.716054378841884,6918.0,0.0
1361,1361,CHARLO AUTO,NEW BRUNSWICK,8100885,42103,71315.0,ZCR,47.99,-66.33,475924000.0,-662003000.0,42.0,2003.0,2015.0,730.0,65.0,0.0,730.0,69.0,84.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6137.0,1.1119003080584664,6137.0,1.1119003080584664
1362,1362,MIRAMICHI RCS,NEW BRUNSWICK,8100989,10808,71744.0,ACQ,47.01,-65.47,470034000.0,-652754000.0,33.0,1994.0,2015.0,730.0,67.0,0.0,730.0,67.0,78.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6140.0,0.0,6140.0,0.0
1363,1363,DOAKTOWN AUTO RCS,NEW BRUNSWICK,8101201,51537,71038.0,ADN,46.59,-66.01,463506090.0,-660035071.0,43.0,2013.0,2015.0,730.0,65.0,0.0,730.0,70.0,259.0,365.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6150.0,10.913244165914692,6150.0,10.913244165914692
1364,1364,EDMUNDSTON,NEW BRUNSWICK,8101303,43323,71590.0,ERM,47.42,-68.32,472500000.0,-681928040.0,154.2,2004.0,2015.0,730.0,89.0,0.0,730.0,93.0,90.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6256.0,47.0039641469019,6099.0,12.52683018372868
1365,1365,FREDERICTON,NEW BRUNSWICK,8101505,48568,71700.0,YFC,45.87,-66.54,455208000.0,-663214000.0,20.7,2010.0,2015.0,730.0,81.0,0.0,730.0,89.0,106.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6157.0,0.7764451117219885,6157.0,0.7764451117219885
1367,1367,FREDERICTON CDA CS,NEW BRUNSWICK,8101605,30309,71668.0,AFC,45.92,-66.61,455513000.0,-663632010.0,35.08,2000.0,2015.0,730.0,65.0,0.0,730.0,70.0,85.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6158.0,0.7757486166462608,6158.0,0.7757486166462608
1368,1368,FUNDY PARK (ALMA) CS,NEW BRUNSWICK,8101746,6919,71191.0,AFY,45.6,-64.95,453600000.0,-645700000.0,42.7,1993.0,2015.0,730.0,215.0,0.0,730.0,215.0,89.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.0,0.0,6108.0,0.0
1369,1369,GAGETOWN A,NEW BRUNSWICK,8101792,7558,71701.0,YCX,45.83,-66.43,455000000.0,-662600000.0,50.6,1976.0,2015.0,395.0,392.0,0.0,395.0,394.0,394.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6217.0,3.1080074857683933,6217.0,3.1080074857683933
1370,1370,GAGETOWN AWOS A,NEW BRUNSWICK,8101794,29493,71701.0,YCX,45.84,-66.45,455020000.0,-662659000.0,50.6,2000.0,2015.0,730.0,491.0,0.0,730.0,492.0,497.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6217.0,1.9104672421368831,6217.0,1.9104672421368831
1371,1371,GRAND MANAN SAR CS,NEW BRUNSWICK,8101925,30598,71030.0,XGM,44.71,-66.8,444243400.0,-664806900.0,78.2,2000.0,2015.0,730.0,67.0,0.0,730.0,69.0,82.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6220.0,43.69183269284772,6105.0,7.079081824459148
1372,1372,JUNIPER,NEW BRUNSWICK,8102275,6181,,,46.55,-67.17,463300000.0,-671000000.0,259.1,1969.0,2015.0,177.0,145.0,0.0,169.0,145.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6181.0,0.0,6181.0,0.0
1373,1373,KOUCHIBOUGUAC CS,NEW BRUNSWICK,8102328,26968,71670.0,AKC,46.77,-65.01,464610600.0,-650023700.0,34.0,1995.0,2015.0,730.0,730.0,0.0,730.0,730.0,73.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6187.0,0.7638175964234195,6187.0,0.7638175964234195
1374,1374,MACTAQUAC PROV PARK,NEW BRUNSWICK,8102536,6194,,,45.95,-66.9,455716000.0,-665355000.0,110.0,1973.0,2015.0,191.0,193.0,0.0,191.0,192.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6194.0,0.0,6194.0,0.0
1375,1375,MECHANIC SETTLEMENT,NEW BRUNSWICK,8102848,45090,71787.0,AMS,45.69,-65.17,454137040.0,-650954040.0,403.0,2006.0,2015.0,730.0,67.0,0.0,730.0,70.0,85.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.0,19.854520091457697,6108.0,19.854520091457697
1376,1376,MISCOU ISLAND (AUT),NEW BRUNSWICK,8103050,6205,71719.0,WMI,48.01,-64.49,480032002.0,-642939008.0,4.0,1957.0,2015.0,730.0,81.0,0.0,730.0,87.0,95.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6115.0,97.09390410016165,6175.0,35.69803581096165
1377,1377,MONCTON INTL A,NEW BRUNSWICK,8103201,50309,71705.0,YQM,46.11,-64.68,460644000.0,-644043000.0,70.7,2012.0,2015.0,74.0,65.0,0.0,67.0,68.0,73.0,363.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6207.0,0.0,6207.0,0.0
1378,1378,OAK POINT,NEW BRUNSWICK,8103780,49868,,,45.51,-66.1,453025000.0,-660555000.0,11.0,2011.0,2015.0,67.0,67.0,0.0,67.0,67.0,67.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6250.0,26.76027558548388,6212.0,16.254153294976327
1379,1379,POINT LEPREAU CS,NEW BRUNSWICK,8104201,27746,71699.0,WPE,45.07,-66.45,450423040.0,-662657090.0,6.0,1992.0,2015.0,730.0,78.0,0.0,730.0,81.0,90.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6146.0,21.589552196258655,6146.0,21.589552196258655
1380,1380,RED PINES,NEW BRUNSWICK,8104295,48768,71634.0,ARP,47.44,-65.6,472622000.0,-653552000.0,124.0,2010.0,2015.0,730.0,78.0,0.0,730.0,81.0,96.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6213.0,14.291939684711256,6213.0,14.291939684711256
1381,1381,SAINT JOHN A,NEW BRUNSWICK,8104901,50310,71609.0,YSJ,45.32,-65.89,451858000.0,-655324000.0,108.8,2012.0,2015.0,83.0,65.0,0.0,69.0,65.0,82.0,360.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6250.0,0.0,6250.0,0.0
1382,1382,ST. STEPHEN,NEW BRUNSWICK,8104935,43383,71607.0,WSS,45.21,-67.25,451236600.0,-671510300.0,26.1,2006.0,2015.0,730.0,68.0,0.0,730.0,74.0,83.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6220.0,42.677896208242025,6220.0,42.677896208242025
1383,1383,UPSALQUITCH LAKE,NEW BRUNSWICK,8105551,6280,,,47.46,-66.42,472720070.0,-662455003.0,624.8,1967.0,2015.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6280.0,0.0,6280.0,0.0
1384,1384,WOODSTOCK,NEW BRUNSWICK,8105600,6286,,,46.17,-67.55,461013000.0,-673313000.0,153.0,1886.0,2015.0,69.0,69.0,0.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6286.0,0.0,6286.0,0.0
1385,1385,ST LEONARD CS,NEW BRUNSWICK,810I001,26823,71019.0,WIY,47.16,-67.83,470928050.0,-674955014.0,245.0,1995.0,2015.0,730.0,68.0,0.0,730.0,67.0,730.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6256.0,0.0,6256.0,0.0
1386,1386,BACCARO PT,NOVA SCOTIA,8200255,46007,71920.0,ACP,43.45,-65.47,432703000.0,-652818000.0,4.6,2007.0,2015.0,730.0,69.0,0.0,730.0,73.0,95.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6318.0,28.929074996004914,6318.0,28.929074996004914
1387,1387,BEAVER ISLAND (AUT),NOVA SCOTIA,8200558,10078,71403.0,WBV,44.82,-62.33,444900000.0,-622000000.0,16.0,1992.0,2015.0,730.0,104.0,0.0,730.0,116.0,730.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6344.0,21.36634240158861,6399.0,21.366342401588053
1390,1390,BRIER ISLAND,NOVA SCOTIA,8200604,10859,71988.0,WVU,44.29,-66.35,441709000.0,-662048000.0,15.8,1969.0,2015.0,730.0,68.0,0.0,730.0,70.0,138.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6505.0,34.15779183109239,6505.0,34.15779183109239
1391,1391,CARIBOU POINT (AUT),NOVA SCOTIA,8200774,8990,71415.0,WBK,45.77,-62.68,454600000.0,-624100000.0,2.4,1993.0,2015.0,730.0,69.0,0.0,730.0,70.0,78.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6393.0,15.387372500915651,6393.0,15.387372500915651
1392,1392,CHETICAMP CS,NOVA SCOTIA,8200827,27600,71959.0,XCH,46.65,-60.95,463842000.0,-605650000.0,43.9,1998.0,2015.0,730.0,71.0,0.0,730.0,73.0,82.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6322.0,0.0,6322.0,0.0
1393,1393,CHETICAMP SNOW,NOVA SCOTIA,8200830,49769,,,46.63,-60.95,463800000.0,-605700000.0,27.0,2011.0,2015.0,725.0,730.0,0.0,448.0,730.0,448.0,182.0,182.0,182.0,182.0,0.0,0.0,182.0,0.0,182.0,0.0,6322.0,2.223276336136188,6322.0,2.223276336136188
1394,1394,DEBERT,NOVA SCOTIA,8201390,42243,71317.0,ZDB,45.42,-63.47,452500000.0,-632800000.0,37.5,2003.0,2015.0,730.0,67.0,0.0,730.0,72.0,91.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6334.0,3.913433479830739,6334.0,3.913433479830739
1395,1395,ESKASONI FIRST NATION AUTOMATIC WEATHER STATION,NOVA SCOTIA,8201780,49748,71175.0,AEI,45.92,-60.65,455514000.0,-603849000.0,28.0,2011.0,2015.0,730.0,73.0,0.0,730.0,78.0,206.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6297.0,21.45401461242781,6297.0,21.45401461242781
